donor,Adipocytes,Atrial_Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Mesothelial,Myeloid,Neuronal,Pericytes,Smooth_muscle_cells,Ventricular_Cardiomyocyte
D1,0,10,38,101,10,0,12,4,77,3,326
D11,8,10,896,153,81,0,145,7,297,55,199
D2,19,100,136,570,27,1,53,9,241,19,539
D3,5,127,151,202,12,1,66,6,175,42,212
D4,11,92,114,310,9,1,53,13,192,28,321
D5,3,109,179,237,6,2,40,7,177,30,371
D6,6,98,1673,116,182,9,187,24,372,127,215
D7,8,129,365,143,156,3,147,6,134,43,252
H2,11,11,127,99,55,0,53,13,207,33,228
H3,19,63,104,125,28,0,55,11,298,59,418
H4,7,25,70,69,20,0,25,14,317,59,440
H5,20,27,127,113,21,0,40,14,272,66,814
H6,15,53,69,105,20,0,29,13,152,32,539
H7,13,155,60,103,26,0,52,12,293,45,433
