method,threshold,retained_cells,rejected_cells,coverage,accuracy_on_retained,balanced_accuracy_on_retained,macro_f1_on_retained,error_rate_on_retained,retained_out_of_reference_cells,mean_confidence
pca_knn,0.0,3009,0,1.0,0.9518112329677634,0.7790232611997813,0.7949958628078776,0.048188767032236623,0,0.9665848653027616
pca_knn,0.5,2997,12,0.996011964107677,0.9552886219552886,0.7873533222448408,0.8069897825466199,0.04471137804471137,0,0.9688032439072044
pca_knn,0.6,2944,65,0.9783981389165836,0.9639945652173914,0.8022815386596013,0.8257490023862915,0.03600543478260865,0,0.9763688473666406
pca_knn,0.7,2886,123,0.959122632103689,0.9705474705474706,0.8148829706706199,0.8378768043983581,0.029452529452529408,0,0.9829141539365887
pca_knn,0.8,2822,187,0.9378531073446328,0.976966690290574,0.8217337070975734,0.8440468829427527,0.023033309709425964,0,0.9880856939867554
pca_knn,0.9,2683,326,0.8916583582585577,0.9843458814759597,0.8175116251259706,0.8397068233994169,0.015654118524040306,0,0.9951411556953477
scanvi_scarches,0.0,3009,0,1.0,0.9667663675639747,0.9273061980635209,0.9198341172112492,0.033233632436025284,0,0.9868724353093965
scanvi_scarches,0.5,3006,3,0.9990029910269193,0.9677312042581504,0.9283317473128748,0.925127652660657,0.0322687957418496,0,0.9874237938000215
scanvi_scarches,0.6,2979,30,0.9900299102691924,0.9711312520980194,0.932872680017228,0.9370012798846542,0.028868747901980574,0,0.991307261247049
scanvi_scarches,0.7,2961,48,0.9840478564307079,0.9726443768996961,0.9399545079711029,0.9414152971128383,0.027355623100303927,0,0.9934217896223149
scanvi_scarches,0.8,2938,71,0.9764041209704221,0.9748127978216474,0.9416878759102623,0.9433482244598387,0.025187202178352575,0,0.9952822261882364
scanvi_scarches,0.9,2885,124,0.9587902957793287,0.9819757365684575,0.9526206790235164,0.9595386319156834,0.01802426343154251,0,0.9977604928834806
