true_label,Adipocytes,Atrial_Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Mesothelial,Myeloid,Neuronal,Pericytes,Smooth_muscle_cells,Ventricular_Cardiomyocyte
Adipocytes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atrial_Cardiomyocyte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endothelial,0.0,0.0,0.99581589958159,0.0,0.0005977286312014345,0.0,0.0,0.0005977286312014345,0.002988643156007173,0.0,0.0
Fibroblast,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.008620689655172414,0.0,0.02586206896551724,0.0
Lymphoid,0.0,0.0,0.0,0.0,0.9835164835164835,0.0,0.016483516483516484,0.0,0.0,0.0,0.0
Mesothelial,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0
Myeloid,0.0,0.0,0.0,0.0,0.026737967914438502,0.0,0.9732620320855615,0.0,0.0,0.0,0.0
Neuronal,0.041666666666666664,0.0,0.25,0.0,0.0,0.041666666666666664,0.0,0.6666666666666666,0.0,0.0,0.0
Pericytes,0.0,0.002688172043010753,0.043010752688172046,0.0,0.002688172043010753,0.002688172043010753,0.0,0.0,0.8494623655913979,0.0967741935483871,0.002688172043010753
Smooth_muscle_cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11811023622047244,0.8818897637795275,0.0
Ventricular_Cardiomyocyte,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488372093023
