true_label,Adipocytes,Atrial_Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Mesothelial,Myeloid,Neuronal,Pericytes,Smooth_muscle_cells,Ventricular_Cardiomyocyte
Adipocytes,6,0,0,0,0,0,0,0,0,0,0
Atrial_Cardiomyocyte,0,98,0,0,0,0,0,0,0,0,0
Endothelial,0,0,1666,0,1,0,0,1,5,0,0
Fibroblast,0,0,0,112,0,0,0,1,0,3,0
Lymphoid,0,0,0,0,179,0,3,0,0,0,0
Mesothelial,0,0,0,0,0,8,0,1,0,0,0
Myeloid,0,0,0,0,5,0,182,0,0,0,0
Neuronal,1,0,6,0,0,1,0,16,0,0,0
Pericytes,0,1,16,0,1,1,0,0,316,36,1
Smooth_muscle_cells,0,0,0,0,0,0,0,0,15,112,0
Ventricular_Cardiomyocyte,0,1,0,0,0,0,0,0,0,0,214
