method,scope,label,precision,recall,f1,support,in_reference
pca_knn,all,Adipocytes,0.0,0.0,0.0,1,True
pca_knn,all,Atrial_Cardiomyocyte,1.0,1.0,1.0,10,True
pca_knn,all,Endothelial,0.9707602339181286,0.9940119760479041,0.9822485207100592,167,True
pca_knn,all,Fibroblast,0.9230769230769231,1.0,0.96,12,True
pca_knn,all,Lymphoid,0.68,0.9444444444444444,0.7906976744186046,18,True
pca_knn,all,Mesothelial,0.0,0.0,0.0,1,True
pca_knn,all,Myeloid,0.9166666666666666,0.5789473684210527,0.7096774193548387,19,True
pca_knn,all,Neuronal,0.0,0.0,0.0,2,True
pca_knn,all,Pericytes,0.7222222222222222,0.7027027027027027,0.7123287671232876,37,True
pca_knn,all,Smooth_muscle_cells,0.46153846153846156,0.46153846153846156,0.46153846153846156,13,True
pca_knn,all,Ventricular_Cardiomyocyte,1.0,1.0,1.0,20,True
pca_knn,closed_set,Adipocytes,0.0,0.0,0.0,1,True
pca_knn,closed_set,Atrial_Cardiomyocyte,1.0,1.0,1.0,10,True
pca_knn,closed_set,Endothelial,0.9707602339181286,0.9940119760479041,0.9822485207100592,167,True
pca_knn,closed_set,Fibroblast,0.9230769230769231,1.0,0.96,12,True
pca_knn,closed_set,Lymphoid,0.68,0.9444444444444444,0.7906976744186046,18,True
pca_knn,closed_set,Mesothelial,0.0,0.0,0.0,1,True
pca_knn,closed_set,Myeloid,0.9166666666666666,0.5789473684210527,0.7096774193548387,19,True
pca_knn,closed_set,Neuronal,0.0,0.0,0.0,2,True
pca_knn,closed_set,Pericytes,0.7222222222222222,0.7027027027027027,0.7123287671232876,37,True
pca_knn,closed_set,Smooth_muscle_cells,0.46153846153846156,0.46153846153846156,0.46153846153846156,13,True
pca_knn,closed_set,Ventricular_Cardiomyocyte,1.0,1.0,1.0,20,True
scanvi_scarches,all,Adipocytes,0.0,0.0,0.0,1,True
scanvi_scarches,all,Atrial_Cardiomyocyte,0.0,0.0,0.0,10,True
scanvi_scarches,all,Endothelial,0.0,0.0,0.0,167,True
scanvi_scarches,all,Fibroblast,0.0,0.0,0.0,12,True
scanvi_scarches,all,Lymphoid,0.0,0.0,0.0,18,True
scanvi_scarches,all,Mesothelial,0.0,0.0,0.0,1,True
scanvi_scarches,all,Myeloid,0.0,0.0,0.0,19,True
scanvi_scarches,all,Neuronal,0.0,0.0,0.0,2,True
scanvi_scarches,all,Pericytes,0.0,0.0,0.0,37,True
scanvi_scarches,all,Smooth_muscle_cells,0.0,0.0,0.0,13,True
scanvi_scarches,all,Ventricular_Cardiomyocyte,0.06802721088435375,1.0,0.12738853503184713,20,True
scanvi_scarches,closed_set,Adipocytes,0.0,0.0,0.0,1,True
scanvi_scarches,closed_set,Atrial_Cardiomyocyte,0.0,0.0,0.0,10,True
scanvi_scarches,closed_set,Endothelial,0.0,0.0,0.0,167,True
scanvi_scarches,closed_set,Fibroblast,0.0,0.0,0.0,12,True
scanvi_scarches,closed_set,Lymphoid,0.0,0.0,0.0,18,True
scanvi_scarches,closed_set,Mesothelial,0.0,0.0,0.0,1,True
scanvi_scarches,closed_set,Myeloid,0.0,0.0,0.0,19,True
scanvi_scarches,closed_set,Neuronal,0.0,0.0,0.0,2,True
scanvi_scarches,closed_set,Pericytes,0.0,0.0,0.0,37,True
scanvi_scarches,closed_set,Smooth_muscle_cells,0.0,0.0,0.0,13,True
scanvi_scarches,closed_set,Ventricular_Cardiomyocyte,0.06802721088435375,1.0,0.12738853503184713,20,True
