method,true_cell_type,n_rejected,threshold,fraction_of_type_rejected
pca_knn,Neuronal,8,0.5,0.3333333333333333
pca_knn,Endothelial,1,0.5,0.0005977286312014345
pca_knn,Fibroblast,1,0.5,0.008620689655172414
pca_knn,Pericytes,1,0.5,0.002688172043010753
pca_knn,Smooth_muscle_cells,1,0.5,0.007874015748031496
pca_knn,Pericytes,24,0.6,0.06451612903225806
pca_knn,Neuronal,13,0.6,0.5416666666666666
pca_knn,Smooth_muscle_cells,12,0.6,0.09448818897637795
pca_knn,Mesothelial,5,0.6,0.5555555555555556
pca_knn,Myeloid,5,0.6,0.026737967914438502
pca_knn,Endothelial,3,0.6,0.0017931858936043037
pca_knn,Fibroblast,2,0.6,0.017241379310344827
pca_knn,Lymphoid,1,0.6,0.005494505494505495
pca_knn,Pericytes,56,0.7,0.15053763440860216
pca_knn,Smooth_muscle_cells,23,0.7,0.18110236220472442
pca_knn,Neuronal,15,0.7,0.625
pca_knn,Myeloid,8,0.7,0.0427807486631016
pca_knn,Endothelial,7,0.7,0.0041841004184100415
pca_knn,Mesothelial,5,0.7,0.5555555555555556
pca_knn,Fibroblast,4,0.7,0.034482758620689655
pca_knn,Lymphoid,4,0.7,0.02197802197802198
pca_knn,Ventricular_Cardiomyocyte,1,0.7,0.004651162790697674
pca_knn,Pericytes,84,0.8,0.22580645161290322
pca_knn,Smooth_muscle_cells,39,0.8,0.30708661417322836
pca_knn,Myeloid,17,0.8,0.09090909090909091
pca_knn,Neuronal,15,0.8,0.625
pca_knn,Endothelial,10,0.8,0.005977286312014346
pca_knn,Lymphoid,8,0.8,0.04395604395604396
pca_knn,Mesothelial,7,0.8,0.7777777777777778
pca_knn,Fibroblast,6,0.8,0.05172413793103448
pca_knn,Ventricular_Cardiomyocyte,1,0.8,0.004651162790697674
pca_knn,Pericytes,142,0.9,0.3817204301075269
pca_knn,Smooth_muscle_cells,66,0.9,0.5196850393700787
pca_knn,Myeloid,49,0.9,0.2620320855614973
pca_knn,Endothelial,19,0.9,0.011356843992827256
pca_knn,Lymphoid,18,0.9,0.0989010989010989
pca_knn,Neuronal,18,0.9,0.75
pca_knn,Mesothelial,7,0.9,0.7777777777777778
pca_knn,Fibroblast,6,0.9,0.05172413793103448
pca_knn,Ventricular_Cardiomyocyte,1,0.9,0.004651162790697674
scanvi_scarches,Endothelial,1,0.5,0.0005977286312014345
scanvi_scarches,Fibroblast,1,0.5,0.008620689655172414
scanvi_scarches,Pericytes,1,0.5,0.002688172043010753
scanvi_scarches,Pericytes,22,0.6,0.05913978494623656
scanvi_scarches,Smooth_muscle_cells,4,0.6,0.031496062992125984
scanvi_scarches,Endothelial,1,0.6,0.0005977286312014345
scanvi_scarches,Fibroblast,1,0.6,0.008620689655172414
scanvi_scarches,Myeloid,1,0.6,0.0053475935828877
scanvi_scarches,Neuronal,1,0.6,0.041666666666666664
scanvi_scarches,Pericytes,30,0.7,0.08064516129032258
scanvi_scarches,Smooth_muscle_cells,6,0.7,0.047244094488188976
scanvi_scarches,Endothelial,4,0.7,0.002390914524805738
scanvi_scarches,Myeloid,3,0.7,0.016042780748663103
scanvi_scarches,Neuronal,3,0.7,0.125
scanvi_scarches,Fibroblast,2,0.7,0.017241379310344827
scanvi_scarches,Pericytes,44,0.8,0.11827956989247312
scanvi_scarches,Smooth_muscle_cells,8,0.8,0.06299212598425197
scanvi_scarches,Endothelial,6,0.8,0.0035863717872086074
scanvi_scarches,Myeloid,6,0.8,0.03208556149732621
scanvi_scarches,Fibroblast,3,0.8,0.02586206896551724
scanvi_scarches,Neuronal,3,0.8,0.125
scanvi_scarches,Ventricular_Cardiomyocyte,1,0.8,0.004651162790697674
scanvi_scarches,Pericytes,79,0.9,0.21236559139784947
scanvi_scarches,Endothelial,13,0.9,0.007770472205618649
scanvi_scarches,Smooth_muscle_cells,13,0.9,0.10236220472440945
scanvi_scarches,Myeloid,8,0.9,0.0427807486631016
scanvi_scarches,Fibroblast,4,0.9,0.034482758620689655
scanvi_scarches,Neuronal,4,0.9,0.16666666666666666
scanvi_scarches,Ventricular_Cardiomyocyte,2,0.9,0.009302325581395349
scanvi_scarches,Lymphoid,1,0.9,0.005494505494505495
