method,true_cell_type,n_rejected,threshold,fraction_of_type_rejected
pca_knn,Adipocytes,1,0.5,1.0
pca_knn,Mesothelial,1,0.5,1.0
pca_knn,Pericytes,1,0.5,0.02702702702702703
pca_knn,Smooth_muscle_cells,1,0.5,0.07692307692307693
pca_knn,Pericytes,30,0.9,0.8108108108108109
pca_knn,Myeloid,14,0.9,0.7368421052631579
pca_knn,Smooth_muscle_cells,12,0.9,0.9230769230769231
pca_knn,Endothelial,8,0.9,0.04790419161676647
pca_knn,Fibroblast,6,0.9,0.5
pca_knn,Lymphoid,5,0.9,0.2777777777777778
pca_knn,Adipocytes,1,0.9,1.0
pca_knn,Mesothelial,1,0.9,1.0
pca_knn,Neuronal,1,0.9,0.5
pca_knn,Ventricular_Cardiomyocyte,1,0.9,0.05
scanvi_scarches,Endothelial,167,0.5,1.0
scanvi_scarches,Pericytes,37,0.5,1.0
scanvi_scarches,Ventricular_Cardiomyocyte,20,0.5,1.0
scanvi_scarches,Myeloid,19,0.5,1.0
scanvi_scarches,Lymphoid,18,0.5,1.0
scanvi_scarches,Smooth_muscle_cells,13,0.5,1.0
scanvi_scarches,Fibroblast,12,0.5,1.0
scanvi_scarches,Atrial_Cardiomyocyte,10,0.5,1.0
scanvi_scarches,Neuronal,2,0.5,1.0
scanvi_scarches,Adipocytes,1,0.5,1.0
scanvi_scarches,Mesothelial,1,0.5,1.0
scanvi_scarches,Endothelial,167,0.9,1.0
scanvi_scarches,Pericytes,37,0.9,1.0
scanvi_scarches,Ventricular_Cardiomyocyte,20,0.9,1.0
scanvi_scarches,Myeloid,19,0.9,1.0
scanvi_scarches,Lymphoid,18,0.9,1.0
scanvi_scarches,Smooth_muscle_cells,13,0.9,1.0
scanvi_scarches,Fibroblast,12,0.9,1.0
scanvi_scarches,Atrial_Cardiomyocyte,10,0.9,1.0
scanvi_scarches,Neuronal,2,0.9,1.0
scanvi_scarches,Adipocytes,1,0.9,1.0
scanvi_scarches,Mesothelial,1,0.9,1.0
