column,dtype,n_unique,n_missing,example_values
NRP,category,2,0,No|Yes
age_group,category,7,0,40-45|45-50|50-55|55-60|60-65|65-70|70-75
cell_source,category,4,0,Harvard-Nuclei|Sanger-CD45|Sanger-Cells|Sanger-Nuclei
cell_type,category,11,0,Adipocytes|Atrial_Cardiomyocyte|Endothelial|Fibroblast|Lymphoid|Mesothelial|Myeloid|Neuronal|Pericytes|Smooth_muscle_cells|Ventricular_Cardiomyocyte
donor,category,14,0,D1|D11|D2|D3|D4|D5|D6|D7|H2|H3|H4|H5|H6|H7
gender,category,2,0,Female|Male
n_counts,float32,6226,0,
n_genes,int64,2981,0,
percent_mito,float32,12898,0,
percent_ribo,float32,12998,0,
region,category,6,0,AX|LA|LV|RA|RV|SP
sample,category,145,0,
scrublet_score,float64,79,0,
source,category,3,0,CD45+|Cells|Nuclei
type,category,2,0,DBD|DCD
version,category,2,0,V2|V3
cell_states,category,65,0,
Used,category,1,0,Yes
