donor_id,n_cells,n_cell_types,cell_type_composition
D6,3009,11,Endothelial:1673;Pericytes:372;Ventricular_Cardiomyocyte:215;Myeloid:187;Lymphoid:182;Smooth_muscle_cells:127;Fibroblast:116;Atrial_Cardiomyocyte:98;Neuronal:24;Mesothelial:9;Adipocytes:6
D11,1851,10,Endothelial:896;Pericytes:297;Ventricular_Cardiomyocyte:199;Fibroblast:153;Myeloid:145;Lymphoid:81;Smooth_muscle_cells:55;Atrial_Cardiomyocyte:10;Adipocytes:8;Neuronal:7
D2,1714,11,Fibroblast:570;Ventricular_Cardiomyocyte:539;Pericytes:241;Endothelial:136;Atrial_Cardiomyocyte:100;Myeloid:53;Lymphoid:27;Adipocytes:19;Smooth_muscle_cells:19;Neuronal:9;Mesothelial:1
H5,1514,10,Ventricular_Cardiomyocyte:814;Pericytes:272;Endothelial:127;Fibroblast:113;Smooth_muscle_cells:66;Myeloid:40;Atrial_Cardiomyocyte:27;Lymphoid:21;Adipocytes:20;Neuronal:14
D7,1386,11,Endothelial:365;Ventricular_Cardiomyocyte:252;Lymphoid:156;Myeloid:147;Fibroblast:143;Pericytes:134;Atrial_Cardiomyocyte:129;Smooth_muscle_cells:43;Adipocytes:8;Neuronal:6;Mesothelial:3
H7,1192,10,Ventricular_Cardiomyocyte:433;Pericytes:293;Atrial_Cardiomyocyte:155;Fibroblast:103;Endothelial:60;Myeloid:52;Smooth_muscle_cells:45;Lymphoid:26;Adipocytes:13;Neuronal:12
H3,1180,10,Ventricular_Cardiomyocyte:418;Pericytes:298;Fibroblast:125;Endothelial:104;Atrial_Cardiomyocyte:63;Smooth_muscle_cells:59;Myeloid:55;Lymphoid:28;Adipocytes:19;Neuronal:11
D5,1161,11,Ventricular_Cardiomyocyte:371;Fibroblast:237;Endothelial:179;Pericytes:177;Atrial_Cardiomyocyte:109;Myeloid:40;Smooth_muscle_cells:30;Neuronal:7;Lymphoid:6;Adipocytes:3;Mesothelial:2
D4,1144,11,Ventricular_Cardiomyocyte:321;Fibroblast:310;Pericytes:192;Endothelial:114;Atrial_Cardiomyocyte:92;Myeloid:53;Smooth_muscle_cells:28;Neuronal:13;Adipocytes:11;Lymphoid:9;Mesothelial:1
H4,1046,10,Ventricular_Cardiomyocyte:440;Pericytes:317;Endothelial:70;Fibroblast:69;Smooth_muscle_cells:59;Atrial_Cardiomyocyte:25;Myeloid:25;Lymphoid:20;Neuronal:14;Adipocytes:7
H6,1027,10,Ventricular_Cardiomyocyte:539;Pericytes:152;Fibroblast:105;Endothelial:69;Atrial_Cardiomyocyte:53;Smooth_muscle_cells:32;Myeloid:29;Lymphoid:20;Adipocytes:15;Neuronal:13
D3,999,11,Ventricular_Cardiomyocyte:212;Fibroblast:202;Pericytes:175;Endothelial:151;Atrial_Cardiomyocyte:127;Myeloid:66;Smooth_muscle_cells:42;Lymphoid:12;Neuronal:6;Adipocytes:5;Mesothelial:1
H2,837,10,Ventricular_Cardiomyocyte:228;Pericytes:207;Endothelial:127;Fibroblast:99;Lymphoid:55;Myeloid:53;Smooth_muscle_cells:33;Neuronal:13;Adipocytes:11;Atrial_Cardiomyocyte:11
D1,581,9,Ventricular_Cardiomyocyte:326;Fibroblast:101;Pericytes:77;Endothelial:38;Myeloid:12;Lymphoid:10;Atrial_Cardiomyocyte:10;Neuronal:4;Smooth_muscle_cells:3
